Name,RecipeIngredientParts,Calories,FatContent,CarbohydrateContent,ProteinContent
Lou's Fabulous Bruschetta,"c(""French baguette"", ""butter"", ""garlic powder"", ""ricotta cheese"", ""parmesan cheese"", ""salt"", ""tomatoes"", ""olive oil"", ""fresh basil leaves"")",221.5,6.5,32.5,8.1
Blueberry Dessert,"c(""Bisquick baking mix"", ""sugar"", ""butter"", ""margarine"", ""eggs"", ""frozen blueberries"", ""Bisquick baking mix"", ""sugar"", ""firm butter"", ""margarine"")",381.1,17.3,54.5,3.9
Brownie Heart Cake,"c(""brown sugar"", ""butter"", ""vanilla"", ""eggs"", ""all-purpose flour"", ""salt"", ""white chocolate"", ""butter"", ""sour cream"")",4713.8,286.5,509.9,71.7
"Black Bean, Corn, and Tomato Salad","c(""fresh lemon juice"", ""olive oil"", ""black beans"", ""fresh corn kernels"", ""plum tomato"", ""scallion"", ""fresh parsley leaves"", ""cayenne"", ""boston lettuce leaves"")",407.8,15.4,55.8,17.1
Cabbage and Sausage Soup,"c(""olive oil"", ""Italian sausage"", ""garlic"", ""red pepper flakes"", ""salt"", ""black pepper"", ""sun-dried tomato"", ""white wine"", ""cabbage"")",586.1,38.7,26.1,30.2
Almond Pound Cake,"c(""butter"", ""almond paste"", ""sugar"", ""eggs"", ""flour"", ""cornstarch"", ""baking powder"", ""milk"")",408.5,17.9,56.0,6.9
Black Coffee Barbecue Sauce,"c(""brewed coffee"", ""ketchup"", ""red wine vinegar"", ""dark brown sugar"", ""onion"", ""garlic cloves"", ""dark molasses"", ""hot dry mustard"", ""Worcestershire sauce"", ""cumin"", ""chili powder"")",772.0,3.9,189.6,7.0
Bourbon Pecan Pound Cake,"c(""butter"", ""sugar"", ""eggs"", ""cake flour"", ""baking powder"", ""salt"", ""nutmeg"", ""sour cream"", ""Bourbon"", ""pecans"", ""powdered sugar"", ""Bourbon"", ""water"")",697.7,31.7,91.2,7.8
Chicago Style Pizza,"c(""dry yeast"", ""water"", ""sugar"", ""salt"", ""flour"", ""cornmeal"", ""mozzarella cheese"", ""oregano"", ""pepper"", ""green pepper"", ""mushroom"", ""parmesan cheese"")",471.4,24.5,41.1,20.9
Chicha Peruana,"c(""piloncillo cone"", ""Nottingham dry yeast"")",21.1,0.3,2.7,2.7
Buckwheat Bread,"c(""eggs"", ""water"", ""buckwheat flour"", ""light brown sugar"", ""whole wheat flour"", ""buttermilk"", ""salt"", ""caraway seed"", ""all-purpose flour"")",2389.3,27.3,466.9,97.8
Chicken and Dumplings,"c(""chicken"", ""carrot"", ""celery"", ""onion"", ""chicken bouillon cubes"", ""butter"", ""flour"", ""sherry wine"", ""lemon juice"", ""salt"", ""baking powder"", ""salt"", ""shortening"", ""milk"", ""peas"")",657.9,42.7,19.1,46.1
Brownie Pudding,"c(""all-purpose flour"", ""granulated sugar"", ""baking powder"", ""salt"", ""milk"", ""vanilla"", ""butter"", ""brown sugar"", ""boiling water"")",182.8,5.9,34.0,2.3
Bratwurst,"c(""milk"", ""fine salt"", ""white pepper"", ""mace"", ""ginger"", ""nutmeg"", ""powdered soy protein concentrate"", ""eggs"", ""fresh parsley"")",1243.1,74.6,28.3,113.3
Brownie Cheesecake Torte,"c(""instant coffee granules"", ""cinnamon"", ""sugar"", ""sugar"", ""all-purpose flour"", ""vanilla extract"", ""fat free cream cheese"", ""skim milk"", ""fresh raspberry"")",122.1,4.9,14.4,5.7
California Chilled Salsa,"c(""tomatoes"", ""celery"", ""onion"", ""green pepper"", ""salt"", ""cider vinegar"", ""sugar"", ""green chili pepper"")",21.0,0.1,4.9,0.6
Alfredo Sauce,"c(""sweet butter"", ""heavy cream"", ""parmesan cheese"", ""salt"", ""pepper"")",489.9,50.4,2.5,8.7
Buttermilk Ranch Dressing,"c(""garlic"", ""salt"", ""buttermilk"", ""sour cream"", ""lime juice"", ""parsley"", ""chives"")",267.2,20.6,14.1,8.2
Brisket with Sauerkraut and Applesauce,"c(""stewed tomatoes"", ""sauerkraut"", ""applesauce"", ""dark brown sugar"", ""beef brisket"")",232.9,13.6,19.3,9.6
Bread Pudding,"c(""milk"", ""eggs"", ""sugar"", ""salt"", ""real vanilla"", ""unsalted butter"")",487.1,25.6,49.3,15.6
All Purpose Quick Mix With 28 Variations,"c(""whole wheat flour"", ""flour"", ""baking powder"", ""salt"", ""butter"")",529.3,24.3,69.7,11.2
Brazilian Empadinhas,"c(""butter"", ""flour"", ""salt"", ""margarine"", ""milk"", ""water"", ""shrimp"", ""onion"", ""tomatoes"", ""parsley"", ""lemon"", ""salt"", ""pepper"", ""Tabasco sauce"", ""garlic"", ""cornstarch"", ""olive oil"", ""cumin"", ""bell peppers"")",329.7,16.7,35.6,9.3
Bubble and Squeak,"c(""baking potatoes"", ""unsalted butter"", ""heavy cream"", ""bacon"", ""onion"", ""celery"", ""sage"", ""white pepper"", ""Brussels sprout"")",480.7,24.9,56.9,11.1
Braised Brussels Sprouts With Vinegar and Dill,"c(""Brussels sprouts"", ""fresh dill"", ""wine vinegar"")",40.9,0.6,8.1,2.9
Butter Madeira Cake,"c(""flour"", ""baking powder"", ""caster sugar"", ""butter"", ""eggs"", ""milk"", ""vanilla essence"")",373.8,19.9,43.9,5.5
Butter Dips,"c(""butter"", ""flour"", ""sugar"", ""baking powder"", ""salt"", ""milk"")",64.1,3.2,7.6,1.2
Brownies,"c(""bittersweet chocolate"", ""butter"", ""sugar"", ""flour"", ""eggs"", ""vanilla extract"", ""rum"", ""filter coffee"")",355.1,19.5,42.6,4.2
Breakfast Burritos,"c(""eggs"", ""country sausage"", ""flour tortillas"")",1974.0,112.2,150.2,84.7
Almond Joy Cake,"c(""margarine"", ""milk"", ""sugar"", ""marshmallows"", ""coconut"", ""sugar"", ""margarine"", ""evaporated milk"", ""vanilla flavoring"", ""marshmallow creme"")",1001.4,50.4,141.6,6.7
Almond Paste,"c(""fresh lemon juice"", ""water"", ""sugar"")",2123.5,119.8,244.0,48.9
Brown Rice and Vegetable Pilaf,"c(""brown rice"", ""chicken broth"", ""unsalted butter"", ""oregano"", ""marjoram"", ""summer savory"", ""unsalted butter"", ""celery"", ""fresh snow pea"", ""broccoli floret"", ""green onion"", ""lemons"", ""coconut"")",412.6,24.4,42.1,8.1
Brown Bag Apple Salad,"c(""oranges"", ""grapefruit juice"", ""seedless grapes"", ""honey"", ""oranges"", ""grapefruit section"", ""lemon juice"", ""lime juice"", ""walnuts"", ""apple"")",141.4,5.0,25.4,2.1
Blue Stuffed Mushrooms,"c(""blue cheese"", ""cream cheese"", ""half-and-half"", ""mushrooms"", ""pecan halves"", ""fresh basil leaves"")",246.3,22.2,3.5,9.9
Blueberry Buttertarts,"c(""egg"", ""corn syrup"", ""lemon juice"", ""vanilla"", ""brown sugar"", ""all-purpose flour"", ""blueberries"")",337.9,18.4,40.2,4.2
Calzone,"c(""tomato sauce with onion"", ""basil leaves"", ""oregano leaves"", ""Italian pork sausage"", ""water"", ""olive oil"", ""mozzarella cheese"", ""romano cheese"", ""parmesan cheese"")",622.8,50.6,8.9,33.1
"Capsicum, Tomato and Crunchy Bread Salad","c(""garlic"", ""egg tomatoes"", ""olive oil"", ""olive oil"", ""red capsicums"", ""yellow capsicum"", ""fresh basil leaf"", ""red wine vinegar"", ""brown sugar"", ""olive oil"")",283.9,26.0,12.4,2.3
Chaat Masala,"c(""cumin seeds"", ""fennel seeds"", ""garam masala"", ""mango powder"", ""black salt"", ""cayenne pepper"", ""asafoetida powder"", ""ginger"")",125.3,6.9,16.4,5.7
Bread Pudding with Jack Daniels Sauce,"c(""milk"", ""eggs"", ""evaporated milk"", ""butter"", ""sugar"", ""vanilla"", ""nutmeg"", ""cinnamon"", ""butter"", ""sugar"", ""water"", ""butter"", ""sugar"", ""water"")",517.6,25.4,55.5,9.2
Braised Chicken with Onions and Tomatoes,"c(""onions"", ""gingerroot"", ""garlic"", ""green serrano chilies"", ""tomatoes"", ""black cardamom pods"", ""cinnamon sticks"", ""cloves"", ""black peppercorns"", ""bay leaves"", ""cumin"", ""cayenne pepper"", ""turmeric"", ""plain yogurt"", ""dark rum"", ""salt"", ""cilantro"", ""chicken pieces"")",184.2,8.4,20.9,3.9
Cheesy Scalloped Potato Side Dish,"c(""potatoes"", ""flour"", ""half-and-half"", ""cheddar cheese"", ""parmesan cheese"", ""paprika"")",332.0,10.5,46.0,14.2
Borscht,"c(""cabbage"", ""onion"", ""celery"", ""butter"", ""beets"", ""tomato sauce"", ""brown sugar"", ""bay leaf"", ""rosemary"", ""lemon juice"")",631.8,24.7,100.9,14.3
Cheeseburger Casserole,"c(""flour"", ""ground beef"", ""onion"", ""tomato sauce"", ""ketchup"", ""salt"", ""pepper"", ""cheddar cheese"")",543.5,29.2,44.8,25.5
Caputo's Halibut With Mint and Balsamic Vinegar,"c(""halibut steaks"", ""extra virgin olive oil"", ""mint leaves"", ""garlic clove"")",505.8,18.9,3.0,75.8
Cajun Beef Burgers,"c(""beef"", ""black pepper"", ""fresh parsley"", ""Spanish onion"", ""salt"", ""cajun-style stewed tomatoes"", ""dried thyme leaves"")",1012.8,88.5,38.5,15.9
Buttermilk Pie in Cornmeal Pastry,"c(""flour"", ""salt"", ""cornmeal"", ""shortening"", ""cheddar cheese"", ""water"", ""eggs"", ""sugar"", ""butter"", ""flour"", ""buttermilk"", ""lemon zest"", ""lemon juice"", ""sugar"")",459.0,19.4,61.8,10.6
Butterflied Lamb with Garlic Butter,"c(""lamb"", ""parsley"", ""fresh thyme"", ""lemon, rind of"", ""garlic"", ""cracked black pepper"", ""butter"", ""lemon juice"", ""small potato"", ""shallots"", ""olive oil"")",1194.6,74.8,52.7,75.9
Borsch,"c(""beets"", ""water"", ""fresh dill"", ""sour cream"")",48.0,0.3,10.8,1.7
Chicken and Broccoli Lasagna,"c(""butter"", ""flour"", ""milk"", ""chicken broth"", ""eggs"", ""parmesan cheese"", ""butter"", ""onion"", ""garlic"", ""chicken"", ""broccoli"", ""parsley"", ""mozzarella cheese"", ""parmesan cheese"", ""salt"", ""nutmeg"")",270.1,19.6,9.7,14.4
Carrot Ginger Biscuits,"c(""all-purpose flour"", ""whole wheat flour"", ""baking powder"", ""baking soda"", ""ginger"", ""salt"", ""carrot"", ""plain low-fat yogurt"", ""canola oil"", ""honey"")",127.0,3.3,20.2,4.5
Chicken Breasts Saltimbocca,"c(""boneless skinless chicken breast halves"", ""ham slices"", ""swiss cheese"", ""all-purpose flour"", ""parmesan cheese"", ""salt"", ""dried sage"", ""pepper"", ""dry white wine"", ""cornstarch"", ""water"", ""rice"")",511.9,29.5,15.8,40.6
A New Spaghetti with Clams,"c(""littleneck clams"", ""extra virgin olive oil"", ""garlic"", ""Canadian bacon"", ""smoked ham"", ""dry white vermouth"", ""dry white wine"", ""bottled clam broth"", ""baking potato"", ""spaghetti"", ""flat leaf parsley"")",1536.7,24.4,214.9,106.8
Blueberry Scones,"c(""all-purpose flour"", ""sugar"", ""baking powder"", ""salt"", ""unsalted butter"", ""fresh blueberries"", ""lemon, zest of"", ""heavy cream"", ""eggs"")",277.3,13.9,33.4,5.3
Blueberry Cookies,"c(""flour"", ""baking powder"", ""salt"", ""vegetable shortening"", ""sugar"", ""egg"", ""milk"", ""lemon zest"", ""blueberries"")",58.4,2.4,8.7,0.7
Abby's Pecan Apple Cake,"c(""butter"", ""sugar"", ""cinnamon"", ""nutmeg"", ""all-purpose flour"", ""tart apples"", ""butter"", ""eggs"", ""milk"", ""rum"", ""vanilla extract"", ""pecans"", ""baking powder"", ""baking soda"", ""salt"")",357.2,15.1,51.3,4.0
Carrot & Tahini Sandwich,"c(""carrot"", ""tahini sesame butter"", ""tofunaise"", ""mayonnaise"", ""raisins"")",110.5,7.3,9.8,3.2
Carrot Cake II,"c(""carrot"", ""eggs"", ""sugar"", ""all-purpose flour"", ""salt"", ""baking powder"", ""baking soda"", ""cinnamon"", ""walnuts"", ""cream cheese"", ""sugar"", ""unsalted butter"", ""real vanilla"")",1173.5,69.8,129.9,11.5
Lamb and Pork Cassoulet,"c(""cannellini beans"", ""ketchup"", ""chili powder"", ""thyme"", ""water"", ""bacon bits"", ""lamb chop"", ""onion"")",584.9,30.3,36.7,40.5
Commissary Carrot Cake,"c(""sugar"", ""flour"", ""salt"", ""heavy cream"", ""unsalted butter"", ""pecans"", ""vanilla"", ""sugar"", ""flour"", ""cinnamon"", ""baking powder"", ""salt"", ""eggs"", ""carrots"", ""pecans"", ""raisins"", ""unsalted butter"", ""cream cheese"", ""powdered sugar"", ""vanilla extract"", ""coconut"")",1011.8,67.4,101.3,7.4
Carrot Maple Cheesecake,"c(""graham crackers"", ""butter"", ""carrots"", ""light cream cheese"", ""granulated sugar"", ""maple syrup"", ""eggs"", ""water"", ""granulated sugar"", ""carrot"")",302.5,20.3,22.9,8.2
Catherine's Excellent Yorkshire Pudding,"c(""plain flour"", ""salt"", ""black pepper"", ""egg"", ""milk"", ""water"")",141.6,2.6,23.4,5.5
Caribbean Cowpeas and Rice,"c(""black-eyed peas"", ""onion"", ""garlic cloves"", ""cumin"", ""thyme"", ""bay leaf"", ""long-grain rice"", ""vegetable broth"", ""tomatoes"", ""allspice"", ""salt"")",267.2,1.9,58.5,7.5
Carnation Lean Fettuccine Alfredo,"c(""fettuccine"", ""olive oil"", ""garlic"", ""milk"", ""parmesan cheese"", ""fresh dill"", ""fresh chives"", ""nutmeg"", ""salt"", ""pepper"", ""asparagus"", ""smoked salmon"", ""lemon juice"")",535.7,15.9,69.7,28.6
Caramel Rice Pudding,"c(""short-grain rice"", ""brown sugar"", ""butter"", ""milk"", ""nutmeg"")",686.8,44.2,58.2,16.1
Caramel Apple Milkshakes,"c(""frozen yogurt"", ""1% low-fat milk"", ""applesauce"", ""cinnamon"")",208.7,6.5,31.2,8.3
Champagne Punch,"c(""frozen limeade concentrate"", ""ginger ale"")",236.8,0.2,41.6,0.6
Butterscotch Apple Dumpling,"c(""green apples"", ""self rising flour"", ""salt"", ""sugar"", ""butter"", ""water"", ""butter"", ""brown sugar"", ""golden syrup"", ""water"")",271.6,8.9,48.0,1.8
Buttermilk-Oat Bread,"c(""buttermilk"", ""honey"", ""butter"", ""margarine"", ""bread flour"", ""rolled oats"", ""salt"", ""active dry yeast"", ""bread machine yeast"")",68.7,0.7,13.3,2.1
Blueberry Pancake Syrup,"c(""blueberries"", ""water"", ""lemons, rind of"", ""sugar"", ""lemon juice"")",1329.7,1.0,342.8,2.2
Chanfana Ou Lampantana,"c(""bacon"", ""olive oil"", ""onions"", ""paprika"", ""cloves"", ""nutmeg"", ""bay leaf"", ""parsley"", ""garlic"", ""piri-piri"", ""red wine"")",1266.0,42.5,17.5,106.2
Cherry Sandwich Maker Snack,"""powdered sugar""",73.3,0.8,14.3,1.9
Cheesecake Cupcakes with Blueberries,"c(""cream cheese"", ""sugar"", ""eggs"", ""sour cream"", ""vanilla"", ""lemon, rind of"", ""flour"", ""blueberries"")",249.5,12.7,31.1,3.8
Cheese and Pineapple Dip,"c(""cheese"", ""pineapple"")",98.7,4.7,11.1,4.1
Chicken and Pineapple Salad With Curry Mayonnaise,"c(""barbecued chicken"", ""coconut"", ""unsweetened pineapple slices"", ""spring onions"", ""curry powder"", ""five-spice powder"", ""garlic clove"", ""fresh ginger"", ""mayonnaise"", ""coconut milk"")",409.7,27.9,30.2,13.3
Carrie's Pizza Rolls,"c(""dry yeast"", ""water"", ""honey"", ""white flour"", ""water"", ""garlic clove"", ""tomatoes"", ""tomato sauce"", ""mozzarella cheese"", ""parmesan cheese"", ""romano cheese"", ""olive oil"", ""salt"", ""pepper"", ""oregano"", ""basil"")",3521.8,108.1,548.4,134.2
Almond Fudge Banana Cake,"c(""DOLE&reg; Banana"", ""sugar"", ""margarine"", ""eggs"", ""amaretto liqueur"", ""vanilla extract"", ""all-purpose flour"", ""baking soda"", ""salt"")",224.8,9.2,33.9,3.8
Cherry Tomatoes on Provolone Garlic Bread,"c(""cherry tomatoes"", ""scallions"", ""parsley"", ""rosemary"", ""garlic"", ""extra virgin olive oil"", ""extra virgin olive oil"", ""garlic"", ""provolone cheese"", ""parmesan cheese"")",488.6,38.6,23.7,13.4
Cheesy Chicken Noodle Casserole,"c(""chicken breasts"", ""olive oil"", ""Velveeta cheese"", ""corn"", ""seasoning salt"", ""parsley flakes"", ""pepper"")",544.0,22.0,59.1,30.4
Caramel Sultana Square,"c(""butter"", ""sugar"", ""egg"", ""flour"", ""baking powder"", ""sultana"", ""butter"", ""golden syrup"", ""sugar"")",3770.5,198.6,468.4,44.2
&quot;21&quot; Apple Pie,"c(""all-purpose flour"", ""salt"", ""unsalted butter"", ""apples"", ""lemons"", ""dark brown sugar"", ""light brown sugar"", ""cinnamon"", ""egg"")",694.3,25.1,113.0,7.2
Campfire Orange Cake,"""oranges""",332.5,9.6,59.2,3.6
Bugwiches,"c(""carrot"", ""lettuce"", ""cucumber"", ""radish"", ""raisins"", ""mayonnaise"", ""celery"", ""tuna salad"", ""salmon salad"")",84.0,2.0,14.1,2.4
Cheese Rolls,"c(""cheese"", ""pepper"")",66.5,0.8,12.7,1.9
All-Purpose Crock Pot Chicken,"c(""chicken"", ""lemon pepper"", ""salt"", ""bell pepper"", ""celery"", ""carrot"", ""green onion"", ""garlic"", ""water"")",247.2,17.3,0.0,21.4
Anise Toast,"c(""eggs"", ""sugar"", ""flour"", ""salt"", ""baking powder"", ""vanilla"")",978.7,60.1,98.3,12.8
Angel Food Cake Waldorf,"c(""sugar"", ""salt"")",613.8,39.9,60.1,9.7
Amish Friendship Bread and Starter,"c(""sugar"", ""milk"", ""flour"", ""milk"", ""eggs"", ""vanilla extract"", ""flour"", ""sugar"", ""baking powder"", ""cinnamon"", ""salt"", ""baking soda"", ""instant vanilla pudding"", ""cinnamon"", ""sugar"")",615.9,21.3,100.0,8.5
Amish Cornbread,"c(""Amish Friendship Starter"", ""eggs"", ""milk"", ""sugar"", ""flour"", ""cornmeal"", ""baking soda"", ""salt"", ""baking powder"")",1792.5,85.0,217.9,45.9
Light Cucumber Soup,"c(""cucumbers"", ""nonfat sour cream"", ""low sodium chicken broth"", ""onion"", ""fresh parsley"", ""fresh dill"", ""dill weed"", ""lemon juice"", ""white pepper"")",113.7,1.6,20.3,6.2
Cold Celery,"c(""celery"", ""salt"", ""soy sauce"", ""brown sugar"")",135.1,5.3,19.7,5.2
Coconut-Lemon Macaroons,"c(""coconut"", ""sugar"", ""lemon juice"", ""lemons, rind of"", ""flour"")",2495.0,147.0,287.6,34.4
Chicken Flambe,"c(""boneless skinless chicken breast"", ""onion"", ""portabella mushroom caps"", ""dry white wine"", ""butter"", ""margarine"", ""flour"")",304.6,14.6,6.6,25.6
Chicken Curry,"c(""cumin seeds"", ""red pepper flakes"", ""turmeric"", ""ginger"", ""clove"", ""salt"", ""black pepper"", ""boneless skinless chicken breasts"", ""butter"", ""fresh ginger"", ""garlic"", ""onions"", ""cinnamon sticks"", ""bay leaf"", ""cardamom pods"", ""whole canned tomatoes"", ""plain yogurt"", ""golden raisin"", ""fresh cilantro"", ""basmati rice"", ""cashews"", ""mango chutney"")",360.1,10.7,38.0,31.1
Chicken Goulash on a Sour Cream Crust,"c(""olive oil"", ""red onions"", ""boneless chicken"", ""paprika"", ""seasoned flour"", ""tomato paste"", ""red wine"", ""plain yogurt"", ""butter"", ""sour cream"", ""egg"", ""self raising flour"", ""parsley"")",695.5,46.4,41.8,24.2
Chicken in Pizza Dough,"c(""chicken breast"", ""egg"", ""active dry yeast"", ""sugar"", ""salt"", ""water"", ""all-purpose flour"")",545.0,5.9,97.3,22.8
Chicken Lasagna,"c(""onion"", ""green pepper"", ""skim milk"", ""fresh mushrooms"", ""pimiento"", ""dried basil"", ""nonfat cottage cheese"", ""mozzarella cheese"", ""parmesan cheese"", ""chicken"", ""cheddar cheese"")",209.3,10.3,10.9,18.1
Chicken Liver Pate,"c(""butter"", ""cream cheese"", ""chicken liver"", ""onion"", ""chicken broth"", ""brandy"", ""paprika"", ""salt"", ""cayenne pepper"")",201.2,17.9,1.9,6.2
Chicken Liver Pate II,"c(""chicken livers"", ""heavy cream"", ""butter"", ""onion"", ""garlic"", ""allspice"", ""bay leaf"", ""peppercorn"", ""dried funghi porcini"", ""white mushrooms"", ""madeira wine"", ""cognac"", ""shallot"")",233.6,21.0,6.6,5.8
Coconut Shrimp With Orange Mustard Sauce,"c(""shrimp"", ""all-purpose flour"", ""salt"", ""pepper"", ""paprika"", ""beer"", ""coconut"", ""orange marmalade"", ""orange marmalade"", ""Dijon mustard"")",2620.3,118.8,274.4,109.9
Chicken Liver Pate III,"c(""chicken livers"", ""unsalted butter"", ""onions"", ""fine salt"", ""white pepper"", ""brandy"", ""heavy cream"", ""bacon"")",968.4,72.0,2.8,63.1
Appetizers-Easy Stuffed Mushrooms,"c(""fresh mushrooms"", ""butter"", ""celery"", ""onion"", ""Worcestershire sauce"", ""parsley flakes"", ""salt"", ""oregano"")",81.8,6.2,5.5,2.0
Anzac Biscuits,"c(""rolled oats"", ""plain flour"", ""sugar"", ""golden syrup"", ""butter"", ""bicarbonate of soda"", ""water"")",199.4,10.4,25.0,2.2
Ancho Chile Rub,"c(""dried ancho chiles"", ""mild chili powder"", ""hot chili powder"", ""chimayo chili powder"", ""cayenne pepper"", ""black pepper"", ""salt"", ""chipotle paste"")",75.5,2.7,14.2,3.3
Amish Six Layer Dinner,"c(""ground beef"", ""raw potatoes"", ""celery"", ""onion"", ""salt"", ""pepper"", ""green pepper"", ""canned tomatoes"", ""onion"")",338.4,16.9,23.1,23.8
Chicken on Sunday  (Or Whenever),"c(""Minute Rice"", ""milk"", ""chicken parts"", ""seasoning salt"", ""pepper"", ""curry"")",951.2,31.8,118.7,42.4
Chicken Pot Pie Lasagna,"c(""boneless chicken breast"", ""fresh mushrooms"", ""carrot"", ""spring onion"", ""frozen green pea"", ""thyme"", ""salt"", ""all-purpose flour"", ""skim milk"", ""dry sherry"", ""low-fat ricotta cheese"", ""part-skim mozzarella cheese"", ""lowfat swiss cheese"")",334.8,13.8,19.2,30.8
Chicken Roll-Ups,"c(""chicken"", ""cream cheese"", ""butter"", ""margarine"", ""onions"", ""chives"", ""pimientos"", ""milk"", ""salt"", ""pepper"", ""croutons"", ""butter"", ""margarine"")",330.7,19.4,31.8,7.5
Chicken Supreme with Mushrooms,"c(""butter"", ""onions"", ""mushrooms"", ""dry white wine"", ""tomato puree"", ""boneless chicken breasts"")",411.0,26.8,7.3,32.0
Cola Roast,"c(""salt"", ""pepper"", ""garlic powder"", ""chili sauce"", ""Worcestershire sauce"")",632.0,24.9,27.6,73.1
Cola Cake,"c(""flour"", ""white sugar"", ""baking soda"", ""buttermilk"", ""butter"", ""margarine"", ""vanilla"", ""eggs"", ""miniature marshmallows"")",560.7,24.9,80.2,6.1
Chicken Sate with Peanut Sauce,"c(""boneless skinless chicken breast halves"", ""soy sauce"", ""lime juice"", ""butter"", ""onion"", ""olive oil"", ""cayenne"", ""soy sauce"", ""sugar"", ""garlic"", ""ginger"", ""salt"", ""lime juice"")",527.6,37.9,12.2,38.2
